[2025-08-30T11:55:24.662+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10012_20230808 [status:200 request:0.005s]
[2025-08-30T11:55:24.667+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10013_20231228 [status:200 request:0.004s]
[2025-08-30T11:55:24.677+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10014_20230724 [status:200 request:0.010s]
[2025-08-30T11:55:24.684+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10015_20230510 [status:200 request:0.005s]
[2025-08-30T11:55:24.690+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10016_20230125 [status:200 request:0.005s]
[2025-08-30T11:55:24.695+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10017_20230608 [status:200 request:0.004s]
[2025-08-30T11:55:24.699+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10018_20231016 [status:200 request:0.004s]
[2025-08-30T11:55:24.704+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10019_20230116 [status:200 request:0.003s]
[2025-08-30T11:55:24.708+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10020_20230810 [status:200 request:0.004s]
[2025-08-30T11:55:24.713+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10021_20230823 [status:200 request:0.005s]
[2025-08-30T11:55:24.718+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10022_20230721 [status:200 request:0.004s]
[2025-08-30T11:55:24.721+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10023_20231026 [status:200 request:0.003s]
[2025-08-30T11:55:24.727+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10024_20230811 [status:200 request:0.005s]
[2025-08-30T11:55:24.731+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10025_20230427 [status:200 request:0.004s]
[2025-08-30T11:55:24.736+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10026_20231230 [status:200 request:0.004s]
[2025-08-30T11:55:24.742+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10027_20231230 [status:200 request:0.005s]
[2025-08-30T11:55:24.746+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10028_20231215 [status:200 request:0.003s]
[2025-08-30T11:55:24.751+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10029_20230627 [status:200 request:0.004s]
[2025-08-30T11:55:24.755+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10030_20231104 [status:201 request:0.004s]
[2025-08-30T11:55:24.760+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10031_20230704 [status:201 request:0.004s]
[2025-08-30T11:55:24.764+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10032_20230927 [status:201 request:0.003s]
[2025-08-30T11:55:24.767+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10033_20230326 [status:201 request:0.003s]
[2025-08-30T11:55:24.771+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10034_20230221 [status:201 request:0.003s]
[2025-08-30T11:55:24.776+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10035_20230716 [status:201 request:0.005s]
[2025-08-30T11:55:24.781+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10036_20230602 [status:201 request:0.004s]
[2025-08-30T11:55:24.785+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10037_20231106 [status:201 request:0.004s]
[2025-08-30T11:55:24.789+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10038_20231104 [status:201 request:0.003s]
[2025-08-30T11:55:24.795+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10039_20231208 [status:201 request:0.005s]
[2025-08-30T11:55:24.798+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10040_20231004 [status:201 request:0.003s]
[2025-08-30T11:55:24.801+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10041_20230513 [status:201 request:0.003s]
[2025-08-30T11:55:24.807+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10042_20231229 [status:201 request:0.005s]
[2025-08-30T11:55:24.812+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10043_20230309 [status:201 request:0.004s]
[2025-08-30T11:55:24.816+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10044_20230508 [status:201 request:0.003s]
[2025-08-30T11:55:24.819+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10045_20230424 [status:201 request:0.003s]
[2025-08-30T11:55:24.825+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10046_20230905 [status:201 request:0.005s]
[2025-08-30T11:55:24.828+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10047_20230117 [status:201 request:0.002s]
[2025-08-30T11:55:24.831+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10048_20230423 [status:201 request:0.003s]
[2025-08-30T11:55:24.834+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10049_20230107 [status:201 request:0.002s]
[2025-08-30T11:55:24.836+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10050_20230806 [status:201 request:0.002s]
[2025-08-30T11:55:24.839+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10051_20230223 [status:201 request:0.002s]
[2025-08-30T11:55:24.841+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10052_20230127 [status:201 request:0.002s]
[2025-08-30T11:55:24.843+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10053_20230218 [status:201 request:0.002s]
[2025-08-30T11:55:24.845+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10054_20230511 [status:201 request:0.002s]
[2025-08-30T11:55:24.847+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10055_20230927 [status:201 request:0.002s]
[2025-08-30T11:55:24.849+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10056_20230414 [status:201 request:0.002s]
[2025-08-30T11:55:24.851+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10057_20231026 [status:201 request:0.001s]
[2025-08-30T11:55:24.853+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10058_20231011 [status:201 request:0.001s]
