[2025-08-30T18:52:46.052+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10024_20230811 [status:200 request:0.001s]
[2025-08-30T18:52:46.053+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10025_20230427 [status:200 request:0.001s]
[2025-08-30T18:52:46.055+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10026_20231230 [status:200 request:0.002s]
[2025-08-30T18:52:46.058+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10027_20231230 [status:200 request:0.002s]
[2025-08-30T18:52:46.062+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10028_20231215 [status:200 request:0.003s]
[2025-08-30T18:52:46.066+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10029_20230627 [status:200 request:0.003s]
[2025-08-30T18:52:46.069+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10030_20231104 [status:200 request:0.003s]
[2025-08-30T18:52:46.072+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10031_20230704 [status:200 request:0.003s]
[2025-08-30T18:52:46.075+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10032_20230927 [status:200 request:0.002s]
[2025-08-30T18:52:46.078+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10033_20230326 [status:200 request:0.002s]
[2025-08-30T18:52:46.081+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10034_20230221 [status:200 request:0.003s]
[2025-08-30T18:52:46.084+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10035_20230716 [status:200 request:0.002s]
[2025-08-30T18:52:46.086+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10036_20230602 [status:200 request:0.002s]
[2025-08-30T18:52:46.088+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10037_20231106 [status:200 request:0.002s]
[2025-08-30T18:52:46.090+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10038_20231104 [status:200 request:0.002s]
[2025-08-30T18:52:46.093+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10039_20231208 [status:200 request:0.002s]
[2025-08-30T18:52:46.095+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10040_20231004 [status:200 request:0.002s]
[2025-08-30T18:52:46.097+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10041_20230513 [status:200 request:0.002s]
[2025-08-30T18:52:46.100+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10042_20231229 [status:200 request:0.002s]
[2025-08-30T18:52:46.102+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10043_20230309 [status:200 request:0.002s]
[2025-08-30T18:52:46.104+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10044_20230508 [status:200 request:0.002s]
[2025-08-30T18:52:46.107+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10045_20230424 [status:200 request:0.002s]
[2025-08-30T18:52:46.109+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10046_20230905 [status:200 request:0.002s]
[2025-08-30T18:52:46.112+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10047_20230117 [status:200 request:0.003s]
[2025-08-30T18:52:46.114+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10048_20230423 [status:200 request:0.002s]
[2025-08-30T18:52:46.118+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10049_20230107 [status:200 request:0.004s]
[2025-08-30T18:52:46.120+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10050_20230806 [status:200 request:0.002s]
[2025-08-30T18:52:46.123+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10051_20230223 [status:200 request:0.002s]
[2025-08-30T18:52:46.125+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10052_20230127 [status:200 request:0.002s]
[2025-08-30T18:52:46.126+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10053_20230218 [status:200 request:0.001s]
[2025-08-30T18:52:46.128+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10054_20230511 [status:200 request:0.001s]
[2025-08-30T18:52:46.131+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10055_20230927 [status:200 request:0.002s]
[2025-08-30T18:52:46.133+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10056_20230414 [status:200 request:0.002s]
[2025-08-30T18:52:46.136+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10057_20231026 [status:200 request:0.002s]
[2025-08-30T18:52:46.138+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10058_20231011 [status:200 request:0.002s]
[2025-08-30T18:52:46.140+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10059_20231101 [status:200 request:0.002s]
[2025-08-30T18:52:46.142+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10060_20231010 [status:200 request:0.001s]
[2025-08-30T18:52:46.144+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10061_20230804 [status:200 request:0.001s]
[2025-08-30T18:52:46.145+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10062_20230523 [status:200 request:0.002s]
[2025-08-30T18:52:46.147+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10063_20230716 [status:200 request:0.001s]
[2025-08-30T18:52:46.149+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10064_20231013 [status:200 request:0.001s]
[2025-08-30T18:52:46.150+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10065_20230423 [status:200 request:0.001s]
[2025-08-30T18:52:46.152+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10066_20230403 [status:200 request:0.001s]
[2025-08-30T18:52:46.153+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10067_20230611 [status:200 request:0.001s]
[2025-08-30T18:52:46.155+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10068_20230901 [status:200 request:0.001s]
[2025-08-30T18:52:46.156+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10069_20230531 [status:200 request:0.001s]
[2025-08-30T18:52:46.158+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10070_20230417 [status:200 request:0.001s]
[2025-08-30T18:52:46.159+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10071_20230620 [status:200 request:0.001s]
[2025-08-30T18:52:46.161+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10072_20230304 [status:200 request:0.001s]
[2025-08-30T18:52:46.162+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10073_20230911 [status:200 request:0.001s]
[2025-08-30T18:52:46.164+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10074_20230227 [status:200 request:0.001s]
[2025-08-30T18:52:46.165+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10075_20230731 [status:200 request:0.001s]
[2025-08-30T18:52:46.166+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10076_20231112 [status:200 request:0.001s]
[2025-08-30T18:52:46.168+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10077_20230731 [status:200 request:0.001s]
[2025-08-30T18:52:46.169+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10078_20231129 [status:200 request:0.001s]
[2025-08-30T18:52:46.171+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10079_20230630 [status:200 request:0.001s]
[2025-08-30T18:52:46.172+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10080_20230404 [status:200 request:0.001s]
[2025-08-30T18:52:46.174+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10081_20230314 [status:200 request:0.001s]
[2025-08-30T18:52:46.176+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10082_20230507 [status:200 request:0.001s]
[2025-08-30T18:52:46.177+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10083_20231104 [status:200 request:0.001s]
[2025-08-30T18:52:46.178+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10084_20230702 [status:200 request:0.001s]
[2025-08-30T18:52:46.181+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10085_20230406 [status:200 request:0.002s]
[2025-08-30T18:52:46.183+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10086_20231122 [status:200 request:0.002s]
